"lat","lon","camp","state","name","type","phone","devel","sites","nforg","elev","upd","hookups","toilets","water","date","url","camp_id","url_confirmed","directions","reservations","comments","town","dump","showers","rv_length","pets","ra_number","season","fee","air_mi_from_town","dir_from_town"
"43.800860","-118.989970","Idlewild","OR","IDLE","NF","541.573.4300","4","40","60402","5299",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/mal.htm","1","0",,"RS",,"Burns","ND","NS","0",,"75065","early may-late oct",,"15.2","N"
"42.626490","-124.057450","Illahe","OR","ILLA","NF","541.247.3600","4","12","61103","505","cc","NH","VT","DW","1","forestcamping.com/dow/pacficnw/sis.htm","2","0",,"NR",,"Gold Beach","ND","NS","0",,"0",,,"23.9","NE"
"42.703820","-122.332120","Imnaha","OR","IMNA","NF","541.865.2700","3","5","61003","3862",,"NH","VT","DW","1",,"3","0",,"NR",,"Butte Falls","ND","NS","0",,"0",,"L$","16.3","NE"
"45.112530","-117.013110","Indian Crossing","OR","INDC","NF","541.426.4978","3","11","61604","4534",,"NH","VT","NW","1","www.roadcamping.com/rv/Oregon/Enterprise/property_2473/rv_parks_campgrounds.html","4","1",,"NR",,"Joseph","ND","NS","0",,"0",,,"19.8","SE"
"44.357700","-121.609620","Indian Ford","OR","INDF","NF","541.549.7700","3","25","60105","3281",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/desc.htm","5","0",,"NR",,"Sisters","ND","NS","0",,"0",,,"5.5","NW"
"45.108800","-122.074800","Indian Henry","OR","INDH","NF","503.630.6861","4","88","60605","1348",,"NH","VT","DW","1","forestcamping.com/dow/pacficnw/mth.htm","6","0",,"RS",,"Estacada","DP","NS","0",,"71636","mid may-late sep",,"17.7","SE"
"42.552090","-123.538660","Indian Mary Park","OR","INDM","CP","541.474.5285",,"90",,"928","cc","WES",,"DW","100309","www.co.josephine.or.us/Page.asp?NavID=491","7","1",,,,"Grants Park","DP","SH","0",,"0",,,"9.6","SW"
"43.312290","-122.152300","Inlet","OR","INLE","NF","541.498.2531","3","14","61503","4199",,"NH","VT","NW","1","forestcamping.com/dow/pacficnw/ump.htm","8","0",,"NR",,"Chemult","ND","NS","0",,"0",,,"19.7","W"
"45.297970","-117.395390","Irondyke Forest Camp","OR","IRON","NF","541.426.4978","3","6","61605","5266",,"NH","VT","NW","1","www.eugenecarsey.com/camp/wallowa-whitman/lostine.htm","9","1",,"NR",,"Enterprise","ND","NS","0",,"0",,,"10.5","SW"
"43.339750","-122.721700","Island","OR","ISLA","NF","541.496.3532","3","7","61506","1381",,"NH","VT","NW","1",,"10","0",,"NR",,,"ND","NS","0",,"0",,,,
